,만나이,성별,소속대학 (예: 예술대학),AI 사용시간 증가비,24년 2학기 GPA 평점,"본인의 주 평균 공부 시간 (중간, 기말, 과제 포함)",AI 평균 사용시간,주 사용 요일,생성형 AI를 사용하는 이유,여타 사이트
0,23,여자,DUMMY,매우 늘었다,DUMMY,3시간 ~ 6시간,30분 ~ 1시간,"화요일, 수요일, 목요일",아이디어를 얻고 노트 정리하기 위해,미리캔버스
1,25,여자,DUMMY,조금 늘었다,DUMMY,1시간 ~ 3시간,30분 ~ 1시간,"토요일, 일요일",빠르고 쉽게 정보를 얻고 싶을때 편하다,"유튜브, 핀터레스트"
2,24,남자,DUMMY,매우 늘었다,DUMMY,1시간 ~ 3시간,1시간 ~ 3시간,"월요일, 화요일",종종 내가 직접 정리하는 게 귀찮거나 책 내용을 잘 이해했는지 요약을 해보가 위해서,어도비
3,24,남자,DUMMY,매우 늘었다,DUMMY,1시간 ~ 3시간,30분 ~ 1시간,"월요일, 수요일",브레인스토밍 단계에 다양한 접근 방식 도출. ,Google scholar
4,만 24,여자,DUMMY,조금 늘었다,DUMMY,3시간 ~ 6시간,3시간 ~ 6시간,"토요일, 일요일","자료를 찾기에 수월하다. 복잡한 내용보다 간단한 내용을 작성할 때 유용한 것 같다. 창의력을 요하는 상황에서 안 떠오를 때, GPT를 통해 여러 아이디어를 얻을 수 있다.","뤼튼, 미리캔버스, 유튜브"
5,만 20,여자,DUMMY,조금 늘었다,DUMMY,30분 ~ 1시간,30분 ~ 1시간,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일",과제 ㅇㄹ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           과제 해결,구글
6,만 25,남자,DUMMY,조금 늘었다,DUMMY,3시간 ~ 6시간,30분 ~ 1시간,일요일,정리를 잘해줘서,감마
7,만 21,여자,DUMMY,매우 늘었다,DUMMY,3시간 ~ 6시간,30분 ~ 1시간,"월요일, 수요일, 목요일",과제에 대한 피드백을 받고 싶어서. 새로운 아이디어를 얻고 싶어서.,유튜브
8,22,여자,DUMMY,조금 늘었다,DUMMY,3시간 ~ 6시간,1시간 ~ 3시간,"화요일, 수요일, 목요일, 금요일, 토요일",방대한 양의 자료를 한눈에 모아주기 때문에 서치 시간이 줄어듦 사용법이 어렵지 않고 내가 해결하지 못하는 문제를 해결하거나 생각하지 못한 방향을 제시하기도 함,미리캔버스
9,20,여자,DUMMY,매우 늘었다,DUMMY,1시간 ~ 3시간,30분 ~ 1시간,"금요일, 토요일, 일요일","오탈자 검수 및 글의 맥락을 자연스럽게 하고, 창의적인 아이디어가 필요할 때 도움을 받기 위해서","어도비, 유튜브"
10,23,여자,DUMMY,조금 늘었다,DUMMY,3시간 ~ 6시간,1시간 ~ 3시간,"월요일, 수요일",문단의 길이를 늘릴 때 사용 / 특정 과제의 주제에  맞는 기업 리스트를 찾을 때 사용,"미리캔버스, 유튜브"
11,20,여자,DUMMY,매우 늘었다,DUMMY,1시간 ~ 3시간,1시간 ~ 3시간,"수요일, 목요일, 일요일",과제에 도움 받기 위해,유튜브
12,21,여자,DUMMY,조금 늘었다,DUMMY,3시간 ~ 6시간,30분 ~ 1시간,"토요일, 일요일","글쓰기를 하는데 도움을 많이 받는다. 잘못된 표현은 없는지, 문장 구조는 매끄러운지 등을 잘 체크해준다.",미리캔버스
13,23,남자,DUMMY,조금 늘었다,DUMMY,3시간 ~ 6시간,1시간 ~ 3시간,"금요일, 토요일, 일요일","눈치 보지 않아도 되는 친구와 의견을 주고 받을 때, 과제에서 더 만족스러운 결과물을 얻었음","유튜브, 넷플릭스"
14,19,남자,DUMMY,조금 늘었다,DUMMY,6시간 ~ 9시간,30분 ~ 1시간,"목요일, 토요일, 일요일","자료 조사를 아주 빠르고 간결해서 정리해서 보여주기도 하고, 요약을 엄청나게 잘해준다. 물론 내가 인터넷으로 서치해도 충분히 찾을 수 있는 내용이지만, 챗지피티로 찾으면 훨씬 빠르기 때문에 좋음.",유튜브
15,22,남자,DUMMY,매우 늘었다,DUMMY,6시간 ~ 9시간,1시간 ~ 3시간,"월요일, 화요일, 목요일",정리가 안된 내용을 물어볼 때 유용합니다. 그리고 처음 아이디어를 떠올릴 때 큰 도움을 줍니다. ,"GitHub, 교보 전자도서관"
16,23,여자,DUMMY,매우 늘었다,DUMMY,1시간 ~ 3시간,30분 ~ 1시간,금요일,과제를 빠르게 할 수 있음. ,구글독스
17,만 19,남자,DUMMY,변화 없다,DUMMY,9시간 이상,0 ~ 30분 미만,토요일,거의 사용하지 않음,유튜브
18,21,남자,DUMMY,매우 늘었다,DUMMY,6시간 ~ 9시간,30분 ~ 1시간,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일",자료검색,캔바
19,21,남자,DUMMY,매우 늘었다,DUMMY,3시간 ~ 6시간,3시간 ~ 6시간,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일",it’s goood!!!,Canva
20,만 23,남자,DUMMY,매우 늘었다,DUMMY,9시간 이상,3시간 ~ 6시간,"월요일, 토요일",이해하기 쉽게 설명해줘요,유튜브!!!!
21,만 20,여자,DUMMY,조금 늘었다,DUMMY,3시간 ~ 6시간,3시간 ~ 6시간,"월요일, 화요일, 일요일",코딩 실수를 교정해주는 것이 편리해서 ,어도비
22,19,남자,DUMMY,변화 없다,DUMMY,6시간 ~ 9시간,30분 ~ 1시간,토요일,문제푸는 시간을 절감할 수 있다,없어요
23,만 20,여자,DUMMY,매우 늘었다,DUMMY,30분 ~ 1시간,30분 ~ 1시간,"금요일, 토요일, 일요일",과제나 공부의 틀이나 진행방향을 수월하게 설정하기위하여.,"미리캔버스, 구글독스, 학교학술정보관사이트, 유튜브 등"
24,19,남자,DUMMY,매우 늘었다,DUMMY,0 ~ 30분 미만,0 ~ 30분 미만,화요일,너무 성능이 좋아요,아니요
25,만 22,남자,DUMMY,매우 늘었다,DUMMY,30분 ~ 1시간,3시간 ~ 6시간,"월요일, 일요일","과제 풀이, 해설, 글 생성, 아이디어 생성","미리캔버스, 어도비, 유튜브, 구글 스칼라"
26,19,여자,DUMMY,매우 늘었다,DUMMY,9시간 이상,3시간 ~ 6시간,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일",교수님한테 질문하기에는 부담스러운 질문들을 편하게 할 수 있고 시공간 제약이 없어서 좋아요 그리고 항상 질문할 때마다 칭찬?같은 긍정적인 말 해줘서 좋아요,유튜브
27,20,여자,DUMMY,매우 늘었다,DUMMY,3시간 ~ 6시간,3시간 ~ 6시간,화요일,"코딩에 도움을 받기 위해, 한글-영어 번역을 하기 위해 ",미리캔버스 
28,22,남자,DUMMY,변화 없다,DUMMY,3시간 ~ 6시간,30분 ~ 1시간,"월요일, 목요일, 일요일",보다 쉬운 이해를 위해서,어도비
29,21,남자,DUMMY,조금 늘었다,DUMMY,6시간 ~ 9시간,30분 ~ 1시간,"화요일, 수요일, 목요일",과제할 때 인사이트를 제공해줍니다. ,유튜브
30,만 20,남자,DUMMY,조금 늘었다,DUMMY,6시간 ~ 9시간,1시간 ~ 3시간,"토요일, 일요일",1. 과제를 본격적으로 하기 전에 큰 틀을 잡는 용도 2. 헷갈리는 정보를 확인하는 용도,유튜브
31,25,남자,DUMMY,매우 늘었다,DUMMY,6시간 ~ 9시간,30분 ~ 1시간,수요일,교수님이 쓰라고 해서,.
